Legal Name,Puerto Rico Link,Google ID,Name,Full address,Is closed,Description 1,Main type,All types,Website,Website (root url),Phone,Phone international,Borough,Street,City,Postal code,State,Country,Country code,Longitude,Latitude,Link,First seen on,Reviews count,Reviews rating,Reviews per score,Photos count,Photo 1,Photo 2,All photos
PIZZA E BIRRA MIRAMAR INC.,https://rcp.estado.pr.gov/en/entity-information?c=348604-111,0x8c036f257de4dd05:0x17ded4d9e890237d,Pizza e Birra,"Pizza e Birra, 653 PR-25, San Juan, 00907, Puerto Rico",No,,Pizza restaurant,"Bar,Cocktail bar,Family restaurant,Italian restaurant,Lunch restaurant,Pizza restaurant,Restaurant,Wine bar",https://www.facebook.com/PizzaEBirraMiramar,https://www.facebook.com,+1 787-729-8866,17877298866,Miramar,653 PR-25,San Juan,907,San Juan,Puerto Rico,PR,-66.0846239,18.4565108,"https://www.google.com/maps/preview/place/Pizza+e+Birra,+653+PR-25,+San+Juan,+00907,+Puerto+Rico/@18.4565108,-66.0846239,3785a,13.1y/data=!4m2!3m1!1s0x8c036f257de4dd05:0x17ded4d9e890237d",8/29/2021,1117,4.3,"{""1"":56.0,""2"":31.0,""3"":109.0,""4"":244.0,""5"":677.0}",493,https://lh5.googleusercontent.com/p/AF1QipOYfbVouUw4suEmbfCCkpKpZMtYYgmCS06AQxZf,https://lh5.googleusercontent.com/p/AF1QipO0d1T776-JKktvO5fCGGd0tXc6zC9LdXpbLx7E,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipOYfbVouUw4suEmbfCCkpKpZMtYYgmCS06AQxZf"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipO0d1T776-JKktvO5fCGGd0tXc6zC9LdXpbLx7E""]"
,,0x8c0365dbfc795b5f:0xaa35e7d8b418bbc1,Ruth's Chris Steak House,"Ruth's Chris Steak House, San Juan Resort & Casino, 5961 Av. Isla Verde, Carolina, 00979, Puerto Rico",No,"Visit Ruth's Chris Steak House for the finest cuts of USDA Prime beef served sizzling on 500-degree plates, award-winning wines and an unforgettable night.",Steak house,"American restaurant,Caterer,Fine dining restaurant,Seafood restaurant,Steak house",http://www.ruthschris.com/Restaurant-Locations/san-juan,http://www.ruthschris.com,+1 787-253-1717,17872531717,Cangrejo Arriba,"San Juan Resort & Casino, 5961 Av. Isla Verde",Carolina,979,Carolina,Puerto Rico,PR,-66.0198217,18.4431363,"https://www.google.com/maps/preview/place/Ruth's+Chris+Steak+House,+San+Juan+Resort+%26+Casino,+5961+Av.+Isla+Verde,+Carolina,+00979,+Puerto+Rico/@18.4431363,-66.0198217,3785a,13.1y/data=!4m2!3m1!1s0x8c0365dbfc795b5f:0xaa35e7d8b418bbc1",8/29/2021,793,4.4,"{""1"":49.0,""2"":27.0,""3"":47.0,""4"":125.0,""5"":545.0}",442,https://lh5.googleusercontent.com/p/AF1QipPAwOKCNy0QG1V11UkUcch5AshUOGBLAwQhnqTP,https://lh5.googleusercontent.com/p/AF1QipOTrA8T5ponvxbeICRr7tJ8Etw94a3-LBdtCxBA,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPAwOKCNy0QG1V11UkUcch5AshUOGBLAwQhnqTP"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipOTrA8T5ponvxbeICRr7tJ8Etw94a3-LBdtCxBA""]"
,,0x8c036ec480f753bf:0xfce114047bd02ef5,Morton's The Steakhouse,"Morton's The Steakhouse, 1 Calle San Geronimo Grounds, Suite 13, San Juan, 00901, Puerto Rico",No,High-end chain for prime beef & seafood,Restaurant,"American restaurant,Family restaurant,Restaurant,Steak house",https://www.mortons.com/location/mortons-the-steakhouse-san-juan-pr,https://www.mortons.com,+1 787-977-6262,17879776262,San Juan Antiguo,"1 Calle San Geronimo Grounds, Suite 13",San Juan,901,San Juan,Puerto Rico,PR,-66.08548,18.463553,"https://www.google.com/maps/preview/place/Morton's+The+Steakhouse,+1+Calle+San+Geronimo+Grounds,+Suite+13,+San+Juan,+00901,+Puerto+Rico/@18.463553,-66.08548,3784a,13.1y/data=!4m2!3m1!1s0x8c036ec480f753bf:0xfce114047bd02ef5",8/29/2021,669,4.5,"{""1"":44.0,""2"":24.0,""3"":28.0,""4"":60.0,""5"":513.0}",800,https://lh5.googleusercontent.com/p/AF1QipM8EmCapy9Gtqva22Vy155WRF_YAFVA9u7i9IXM,https://lh5.googleusercontent.com/p/AF1QipMXFzYlMVszchCVFTXmROrTxAs5zEgwqlsUagWF,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipM8EmCapy9Gtqva22Vy155WRF_YAFVA9u7i9IXM"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMXFzYlMVszchCVFTXmROrTxAs5zEgwqlsUagWF""]"
EL CANTINFLAS TACOS CORPORATION,https://rcp.estado.pr.gov/en/entity-information?c=57468-111,0x8c03432517f4d375:0x9f6ddfe7ddd8b2f5,El Cantinflas Tacos Place,"El Cantinflas Tacos Place, Carr # 1 km 27.0, Caguas, 00725, Puerto Rico",No,Los mejores tacos de PR!,Mexican restaurant,Mexican restaurant,,,+1 787-600-7475,17876007475,,Carr # 1 km 27.0,Caguas,725,Caguas,Puerto Rico,PR,-66.0603244,18.2990487,"https://www.google.com/maps/preview/place/El+Cantinflas+Tacos+Place,+Carr+%23+1+km+27.0,+Caguas,+00725,+Puerto+Rico/@18.2990487,-66.0603244,3788a,13.1y/data=!4m2!3m1!1s0x8c03432517f4d375:0x9f6ddfe7ddd8b2f5",8/29/2021,6011,4.4,"{""1"":171.0,""2"":151.0,""3"":539.0,""4"":1217.0,""5"":3933.0}",704,https://lh5.googleusercontent.com/p/AF1QipPeyMa25Kgddw5-xhZULDpJld2twCBZo4Psx2Mq,https://lh5.googleusercontent.com/p/AF1QipP3MSskxW4ot6LVgaMkETCz2N0ss8TZtNVbdYjf,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPeyMa25Kgddw5-xhZULDpJld2twCBZo4Psx2Mq"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipP3MSskxW4ot6LVgaMkETCz2N0ss8TZtNVbdYjf""]"
,,0x8c0366ff29ccbe63:0x9d6f9875eafcdd56,Sam's Club,"Sam's Club, Plaza Escorial Bo San Anton, Carretera 3, Carolina, 00987, Puerto Rico",No,"Visit your Carolina Sam's Club. Members enjoy exceptional warehouse club values on superior products and services, including groceries, pharmacy, optical, home furnishings, office supplies, TVs, and more.",Warehouse club,"Bakery,Electronics store,Produce wholesaler,Warehouse club,Wholesale grocer",https://www.samsclub.com/club/carolina-pr-sams-club/6543,https://www.samsclub.com,+1 787-257-1500,17872571500,San Antón,"Plaza Escorial Bo San Anton, Carretera 3",Carolina,987,Carolina,Puerto Rico,PR,-65.9956895,18.3941579,"https://www.google.com/maps/preview/place/Sam's+Club,+Plaza+Escorial+Bo+San+Anton,+Carretera+3,+Carolina,+00987,+Puerto+Rico/@18.3941579,-65.9956895,3786a,13.1y/data=!4m2!3m1!1s0x8c0366ff29ccbe63:0x9d6f9875eafcdd56",8/29/2021,2820,4.3,"{""1"":172.0,""2"":96.0,""3"":176.0,""4"":542.0,""5"":1834.0}",1349,https://lh5.googleusercontent.com/p/AF1QipPNeh3_Sse_F0LCWfbq_Vh8bb-OSpiW0fRN2q3S,https://lh5.googleusercontent.com/p/AF1QipPlk0ipby00vONs9vTV3kpgNrKKmtZ3PThdY60_,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPNeh3_Sse_F0LCWfbq_Vh8bb-OSpiW0fRN2q3S"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPlk0ipby00vONs9vTV3kpgNrKKmtZ3PThdY60_""]"
,,0x8c02e7ceb3173c65:0xc795419ecb389cf5,Sam's Club,"Sam's Club, PR-2 Km 84.2, Carrizales, Hatillo 00659, Puerto Rico",No,"Visit your Hatillo Sam's Club. Members enjoy exceptional warehouse club values on superior products and services, including groceries, pharmacy, optical, home furnishings, office supplies, TVs, and more.",Warehouse club,"Bakery,Electronics store,Produce wholesaler,Warehouse club,Wholesale grocer",https://www.samsclub.com/club/hatillo-pr-sams-club/6270,https://www.samsclub.com,+1 787-820-5300,17878205300,,PR-2 Km 84.2,Carrizales,659,Hatillo,Puerto Rico,PR,-66.7903496,18.486837,"https://www.google.com/maps/preview/place/Sam's+Club,+PR-2+Km+84.2,+Carrizales,+Hatillo+00659,+Puerto+Rico/@18.486837,-66.7903496,3784a,13.1y/data=!4m2!3m1!1s0x8c02e7ceb3173c65:0xc795419ecb389cf5",8/29/2021,2545,4.3,"{""1"":199.0,""2"":81.0,""3"":175.0,""4"":448.0,""5"":1642.0}",1015,https://lh5.googleusercontent.com/p/AF1QipOlBB5IaWbZh3mw8aVzmpwwj-QgcD7cBq8TnMlS,https://lh5.googleusercontent.com/p/AF1QipNhbWpXjkuUsq-2_ZeTCzTVPbHkGyNR9xAVepPI,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipOlBB5IaWbZh3mw8aVzmpwwj-QgcD7cBq8TnMlS"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipNhbWpXjkuUsq-2_ZeTCzTVPbHkGyNR9xAVepPI""]"
,,0x8c02d590ffffffff:0x861a3cee10731377,Sam's Club,"Sam's Club, 2188 Av. Eduardo Ruberte, Ponce, 00716, Puerto Rico",No,"Visit your Ponce Sam's Club. Members enjoy exceptional warehouse club values on superior products and services, including groceries, pharmacy, optical, home furnishings, office supplies, TVs, and more.",Warehouse club,"Bakery,Electronics store,Produce wholesaler,Warehouse club,Wholesale grocer",https://www.samsclub.com/club/ponce-pr-sams-club/6690,https://www.samsclub.com,+1 787-848-9090,17878489090,,2188 Av. Eduardo Ruberte,Ponce,716,Ponce,Puerto Rico,PR,-66.6282179,17.9939574,"https://www.google.com/maps/preview/place/Sam's+Club,+2188+Av.+Eduardo+Ruberte,+Ponce,+00716,+Puerto+Rico/@17.9939574,-66.6282179,3795a,13.1y/data=!4m2!3m1!1s0x8c02d590ffffffff:0x861a3cee10731377",8/29/2021,2637,4.4,"{""1"":136.0,""2"":56.0,""3"":156.0,""4"":494.0,""5"":1795.0}",701,https://lh5.googleusercontent.com/p/AF1QipNl5pPZn-C3hBSZ85MbyGakGFTpoDeFg3vcmOcw,https://lh5.googleusercontent.com/p/AF1QipMg6bjgsk61C5drH0yC9jQS8ggBA0LeK067mXY,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipNl5pPZn-C3hBSZ85MbyGakGFTpoDeFg3vcmOcw"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMg6bjgsk61C5drH0yC9jQS8ggBA0LeK067mXY""]"
,,0x8c035b67f2a543dd:0xbe48828ba93c23f3,Sam's Club,"Sam's Club, Plaza Centro II Ave Rafael Cordero, Caguas, 00725, Puerto Rico",No,"Visit your Caguas Sam's Club. Members enjoy exceptional warehouse club values on superior products and services, including groceries, pharmacy, optical, home furnishings, office supplies, TVs, and more.",Warehouse club,"Bakery,Electronics store,Produce wholesaler,Warehouse club,Wholesale grocer",https://www.samsclub.com/club/caguas-pr-sams-club/6689,https://www.samsclub.com,+1 787-746-1001,17877461001,,Plaza Centro II Ave Rafael Cordero,Caguas,725,Caguas,Puerto Rico,PR,-66.0214198,18.2493155,"https://www.google.com/maps/preview/place/Sam's+Club,+Plaza+Centro+II+Ave+Rafael+Cordero,+Caguas,+00725,+Puerto+Rico/@18.2493155,-66.0214198,3789a,13.1y/data=!4m2!3m1!1s0x8c035b67f2a543dd:0xbe48828ba93c23f3",8/29/2021,2615,4.3,"{""1"":172.0,""2"":73.0,""3"":170.0,""4"":471.0,""5"":1729.0}",1224,https://lh5.googleusercontent.com/p/AF1QipMK5xWo-wPXPUFcQfWILsQJ05kEfrHKjcFB2KM6,https://lh5.googleusercontent.com/p/AF1QipMNjxDRY1L7sf1ehMzTww1U0sER_P7_J7OGcyLx,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMK5xWo-wPXPUFcQfWILsQJ05kEfrHKjcFB2KM6"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipMNjxDRY1L7sf1ehMzTww1U0sER_P7_J7OGcyLx""]"
"SUPERMERCADOS HATILLO, INC",https://rcp.estado.pr.gov/en/entity-information?c=154791-1011,0x8c02e87075baa4b9:0xf5fe8c7beca34722,Hatillo Kash N' Karry,"Hatillo Kash N' Karry, Marginal Calle Comercio, Hatillo, 00659, Puerto Rico",No,,Supermarket,Supermarket,http://www.hatillokashnkarry.com,http://www.hatillokashnkarry.com,+1 787-898-5840,17878985840,,Marginal Calle Comercio,Hatillo,659,Hatillo,Puerto Rico,PR,-66.818353,18.485629,"https://www.google.com/maps/preview/place/Hatillo+Kash+N'+Karry,+Marginal+Calle+Comercio,+Hatillo,+00659,+Puerto+Rico/@18.485629,-66.818353,3784a,13.1y/data=!4m2!3m1!1s0x8c02e87075baa4b9:0xf5fe8c7beca34722",8/30/2021,1553,4.5,"{""1"":37.0,""2"":26.0,""3"":95.0,""4"":349.0,""5"":1046.0}",141,https://lh5.googleusercontent.com/p/AF1QipPNulWDjoUg0l4ZqUg5NKscw1iYKmgyK7hnZwiV,https://lh5.googleusercontent.com/p/AF1QipNhELPiI7iPvdpGJqRRUh1U1O3s4epo35au0Y2T,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPNulWDjoUg0l4ZqUg5NKscw1iYKmgyK7hnZwiV"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipNhELPiI7iPvdpGJqRRUh1U1O3s4epo35au0Y2T""]"
,,0x8c02e849354d9881:0xe634bfd965781021,Hatillo Kash N' Karry,"Hatillo Kash N' Karry, 162 Ave Luis Munoz Rivera, Camuy, 00627, Puerto Rico",No,,Grocery store,Grocery store,https://hatillokashnkarry.com,https://hatillokashnkarry.com,+1 787-544-1086,17875441086,,162 Ave Luis Munoz Rivera,Camuy,627,Camuy,Puerto Rico,PR,-66.8483939,18.4839422,"https://www.google.com/maps/preview/place/Hatillo+Kash+N'+Karry,+162+Ave+Luis+Munoz+Rivera,+Camuy,+00627,+Puerto+Rico/@18.4839422,-66.8483939,3784a,13.1y/data=!4m2!3m1!1s0x8c02e849354d9881:0xe634bfd965781021",8/30/2021,657,4.5,"{""1"":22.0,""2"":14.0,""3"":45.0,""4"":134.0,""5"":442.0}",52,https://lh5.googleusercontent.com/p/AF1QipPjLyVswHDoHiMms1w4H3X31dbiPwXZ-dyRfL53,https://lh5.googleusercontent.com/p/AF1QipPVVY3-URZMJDn4crkrC5NddQP7AQIjJtFJ-MRF,"[""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPjLyVswHDoHiMms1w4H3X31dbiPwXZ-dyRfL53"",""https:\/\/lh5.googleusercontent.com\/p\/AF1QipPVVY3-URZMJDn4crkrC5NddQP7AQIjJtFJ-MRF""]"
